-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2021 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2011,16.5,-95.5,18.32,21.15,23.14,22.9,21.63,18.34,18.43,20.07,16.62,17.88,18.72,18.08,19.6
ALLSKY_SFC_SW_DWN,2011,16.5,-96.5,19.38,21.76,23.99,23.7,22.43,18.72,17.31,18.99,16.42,18.09,19.26,19.33,19.94
ALLSKY_SFC_SW_DWN,2011,16.5,-97.5,20.0,22.08,24.53,24.62,22.63,19.21,18.35,18.88,17.6,19.52,19.88,19.73,20.58
ALLSKY_SFC_SW_DWN,2011,17.5,-95.5,13.29,15.54,20.69,22.9,21.37,20.42,17.56,20.09,16.47,14.49,14.49,12.56,17.49
ALLSKY_SFC_SW_DWN,2011,17.5,-96.5,16.19,18.99,21.8,22.93,21.82,19.55,16.53,19.26,16.49,16.14,16.41,16.29,18.53
ALLSKY_SFC_SW_DWN,2011,17.5,-97.5,19.36,21.66,24.21,24.34,23.19,20.32,17.69,20.45,18.23,19.17,18.5,19.06,20.51
ALLSKY_SFC_SW_DWN,2012,16.5,-95.5,17.93,19.08,22.48,24.31,21.71,16.57,22.05,19.25,20.36,18.32,18.88,17.87,19.9
ALLSKY_SFC_SW_DWN,2012,16.5,-96.5,18.72,19.45,23.16,24.44,21.0,16.44,19.95,18.35,18.96,18.55,19.85,19.05,19.83
ALLSKY_SFC_SW_DWN,2012,16.5,-97.5,19.68,19.76,24.24,25.54,21.16,17.47,21.53,19.0,19.91,18.49,20.08,18.88,20.48
ALLSKY_SFC_SW_DWN,2012,17.5,-95.5,11.85,14.33,19.19,22.3,20.69,18.54,18.46,19.31,17.23,15.89,13.91,13.89,17.14
ALLSKY_SFC_SW_DWN,2012,17.5,-96.5,14.96,16.7,20.64,22.2,20.7,18.27,18.46,18.48,17.39,16.8,15.51,16.36,18.04
ALLSKY_SFC_SW_DWN,2012,17.5,-97.5,18.11,17.99,23.24,24.08,21.59,18.52,19.78,19.06,18.9,18.95,18.73,18.8,19.82
ALLSKY_SFC_SW_DWN,2013,16.5,-95.5,17.76,21.15,22.29,22.99,19.47,21.26,20.97,20.21,15.94,17.97,17.22,16.43,19.46
