COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/02/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: FEBRUARY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 20289 
 NOMBRE    : GUEVEA DE HUMBOLDT 
 ESTADO    : OAXACA 
 MUNICIPIO : GUEVEA DE HUMBOLDT 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.78888889 ° 
 LONGITUD  : -95.37166667 ° 
 ALTITUD   : 655 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978				15	28.5	50	65.7	28.5	260	22.5	15.5	25.5	511.2	56.8	9
1979	5.5	10.5	6.5	40.5	20.5	50.5	70	84.5	68	70.5	9.5	5.5	442	36.8	12
1980	5	3	0	4.5	30.5	75	36	70.5	38	30	14	5	311.5	26	12
1981	5	9	0	25	15.5	44.5	100	114	40	16	15	23	407	33.9	12
1982	9	15	10	10	24	50	38	27.5	27	13.5	13		237	21.5	11
1983	0	0	0	0	0	35	51	47	47	23	40	3	246	20.5	12
1984	8	1	0.3	0	30	22	64	40	30	87	2	0.8	285.1	23.8	12
1985	0.7	0.7		0.4	2.5	46	70	43	62	14	18	8	265.3	24.1	11
1986	2	2.7	0	0	2	45	22	20	70	10	2	4	179.7	15	12
1987	7	0	6	0.3	0	32	34	129	40	0.2	30	1.5	280	23.3	12
1988	0.9	0.9	0.9	0.8	0	40	68	67	25	21	23	21	268.5	22.4	12
1989	9	20	0	3	22	45	40	37.5	45	0	33.4	31	285.9	23.8	12
1990	9.5	0.01	3	16	20	21	0	62	20	16	45	18	230.51	19.2	12
1991	4	2	1	0	10	100	21	69.5	62.3	60.3	9	6	345.1	28.8	12
1992	2	6	2	5	10	43	57	28.7	35	13	8	3	212.7	17.7	12
1993	1	2	6	0	0	127	108	80	28	18	8	8	386	32.2	12
1994	8.5	18	8	10	27.5	28	18	25	23	18.7	23	18.2	225.9	18.8	12
1995	18	10	8	2	43	43	63	80.2	40	15.4	12	28.7	363.3	30.3	12
1996	11	7	35	10	12.3	63	145	110	89	76	18	4	580.3	48.4	12
1997	6	0	46	8	12	18	25	18	63	111	46	70	423	35.2	12
1998	4	0	12	0	0	68	87	26	120	18	10	0	345	28.8	12
1999	22	14	10	0	7	140	61	32	127.5	38.7	8		460.2	41.8	11
2000	0	0	0	5	51	38.2	69.5	27.6	0	0	0	0	191.3	15.9	12
2001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
2002				0	0		19	52	131.5	122	101.4	9.6	435.5	54.4	8
2003	15.7	5	14	5	5	165.5	145.2	80	75	190	14.2	8	722.6	60.2	12
2004	36	6.7	3	28	20	268.5	20	55	128.5	38	10	5.7	619.4	51.6	12
2005	38	6	6	0	12.4	108.5	152	100.2	88	46	60	21.5	638.6	53.2	12
2006	14	2.3	6.4	10	100	116	85.5	237	52.8	100.1	34	62.6	820.7	68.4	12
2007	2	2	6.4	11.1	10.5	62.1	141.2	143	141.5	18	2	13.2	553	46.1	12
2008	44.3	6	10.6	26.1	8.7	105	65.9	38	66.6	81.2	37.1	7.7	497.2	41.4	12
2009	70	44.3	93	13	42	87	33	53	79.5	72	21	7.7	615.5	51.3	12
2010	12	4	3	26.5	7	53	65	95	251.8	40	55	13.8	626.1	52.2	12
2011	60	8	29	1	30	48	84.7	66.5	86.3	33			446.5	44.6	10
