COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/02/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: FEBRUARY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 20044 
 NOMBRE    : JALAPA DEL VALLE 
 ESTADO    : OAXACA 
 MUNICIPIO : SAN FELIPE TEJALÁPAM 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.06583333 ° 
 LONGITUD  : -96.87833333 ° 
 ALTITUD   : 1742 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1963												0	0	0	1
1964	2	0	4.5	8	45	40	24	29	34	2	11	1.2	200.7	16.7	12
1965	3	1	11	31	8.5	42	19	20	16	21	0	0	172.5	14.4	12
1966	1	3	8	46	12	39	27	50	19	23	0	2	230	19.2	12
1967	0	10	11	16.5	28	42	19	28	30	15	2	11	212.5	17.7	12
1968	13	6	7	16	23	23	15	17	25	35	0	9	189	15.8	12
1969	7.3	7	13	15	60	90	42	70	82	16	4	0	406.3	33.9	12
1970	2	2	0	2	6	44	41	30	30	5	28	4	194	16.2	12
1971	0	0	0	8	58	16	17	25	32	40	3		199	18.1	11
1972	0	2	9	22	22	39	48	41	23	3	27	0	236	19.7	12
1973	0	0	0	10	21	32	37	16	31	12	0	11	170	14.2	12
1974	0	0	18	44	16	37	34	22	22	2	0	0	195	16.2	12
1975	9	5	0	0	42	26	41	28	35	22	3	0	211	17.6	12
1976	0	4	0	22	20	30	48	9	27		7	0	167	15.2	11
1977	0	0	0	15	11	45	11	37	36	21	8	11	195	16.2	12
1978	0	3	7	0	10	40	20	20	58	24	0	12	194	16.2	12
1979	2	34	0		32	14	44	22	31	16	6	0	201	18.3	11
1980	2	0	5	44	16	35	30	29	50	25	11	0	247	20.6	12
1981	0	0	1	34	20	28	42.1	42	24	20	2	1.5	214.6	17.9	12
1982	0	20	8	40	50	15	17	11	26	26	0	0	213	17.8	12
1983	0	27	21	0	2	40	29	13	35	12	23	8	210	17.5	12
