COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/02/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: FEBRUARY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 20004 
 NOMBRE    : SAN JUAN ATEPEC 
 ESTADO    : OAXACA 
 MUNICIPIO : SAN JUAN ATEPEC 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.43305556 ° 
 LONGITUD  : -96.54972222 ° 
 ALTITUD   : 1975 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1955				25	15	13	48	33	46	33.5	2	25	240.5	26.7	9
1956	2.5	13	3.5	5.5	44	25.5	27	34	17.5	27.5	9	16.5	225.5	18.8	12
1957	6	17.5	13	11.5	64	30	33.5	40	25	13.5	4	4.5	262.5	21.9	12
1958	21.2	1.6	5	17.5	21	27.5	35.5	76	30	33	23.5	18.5	310.3	25.9	12
1959	2.5	5.5	7	40	46	42	22.5	24.5	19	25	0	0	234	19.5	12
1960	0	0	0	0	45	38.5	23	22	20	17.5	17.5	6	189.5	15.8	12
1961	6	0	20	5.5	5	20	60.5	24	28	60	18	8	255	21.2	12
1962	0	0	0	14.5	5	17	20	20	31	24.5	0	9	141	11.8	12
1963	0	0	5	29.5	27	21	28.5	52.5	30	0	11.5	0	205	17.1	12
1964	0	0	0	0	14	28	24	33	12	35	20	8.5	174.5	14.5	12
1965		0.1	20.3	10.2	0	30	19.5	36	29	40	10	5	200.1	18.2	11
1966	0	10	10.1	10.4	20.9	30	20.4	10	20.6	40.3	0.4	0	173.1	14.4	12
1967	0.5	0	0.2	63	20	74	30	20	30	30	0.6	18	286.3	23.9	12
1968	0.7	0.4	0	35	24	60	40	53	20.7	16	0.1	3	252.9	21.1	12
1969	0	1	0.3	20.1	0.9	57	70	70.8	40.6	22	0.4	0	283.1	23.6	12
1970	0.5	10.1	0	0.5	10.2	40.1	40.4	30.3	30.1	0.8	0.2	0	163.2	13.6	12
1971	20.7	0	9	2	0.7	20.7	10.7	40.7	30	30	30	30.8	225.3	18.8	12
1972	10.1	0.1	0	30.1	30.4	50.5	30.5	10	10	10.2	10.7	0.1	192.7	16.1	12
1973	0	0	0.2	15	0.4	70.2	80.5	40.5	14	10.5	0.3	20.2	251.8	21	12
1974	15	0.2	0.9	10.1	20.1	36	20.9	10.1	60.1	20.2	20	0	213.6	17.8	12
1975	0	6.1	0	30.2	23	20	12	40	50.2	30.4	0.2	0.5	212.6	17.7	12
1976	20	0.2	0.2	20.5	20.2	30.5	30	20.2	40	10.4	10.9	0	203.1	16.9	12
1977	0	0.2	0.2	0.7	20.5	50.2	10.3	10.9	10.9	10.5	10.7	10.9	136	11.3	12
1978	0	0	0.1	10.2	10.1	70.2	40.2	20	70.5	20.8	0.3	10.3	252.7	21.1	12
1979	1	20.2	0.2	60.7	0.6	60.4	40.4	30.1	60.7	20.1	0.2	0.8	295.4	24.6	12
1980	0.2	0	0	10.8	20	20.5	30.8	40.7	50.5	10.5	10	0.7	194.7	16.2	12
1981	0.4	10	10.7	10.2	0.9	40.5	60	59.8	20.8	20.5	10	10	253.8	21.1	12
1982	0.5	20.7	0.6	10.5	20	26.6	20	10.8	40.6	30.5	10	0.8	191.6	16	12
1983	0.3	10.5	10	0	0	20.5	70	20	30.7	20	10.5	10.5	203	16.9	12
1984	0.8	0.2	30.6	0	30	31	40.5	40	20.5		10	10.9	214.5	19.5	11
1991	0.5	0.3	0	20.2	40.7	20.6	60.5	40.5	50.2	40.3	0.9	10	284.7	23.7	12
1992	10.7	10.8	20	10.1	30	40.4	10.1	60.5	80.2	10.1	0.5	0.2	283.6	23.6	12
1993	9	0.5	0.4	0.3	30	50.5	30	50.7	10.9	40.5	0.8	0.9	224.5	18.7	12
1997			0.5	20.5	0.5	20	29	10.3	40.2				121	17.3	7
2000	0	0	0	10.9	12	30.1	30.2	30.6	20.7				134.5	14.9	9
2001	2	7	0	0.6	20	14	58	72	37	32	6		248.6	22.6	11
2002	0	0.6	0.3	0	9	29	27	64	50	12	21		212.9	19.4	11
2003	3	0	0	27	15	41	12	15	107	16	22	1	259	21.6	12
2004	3	0	4	12	7	29	30	15.5	12	34	7	2	155.5	13	12
2005	3	3	1	23	25	43	25	65	64	285	8	5.5	550.5	45.9	12
2006	4	0	2	0.2	24	18	50	23	47	14	16.5	6	204.7	17.1	12
2007	3	10.5	2	7	23	32	28	43	20	25	15	2.5	211	17.6	12
2008	23	1	0	14	18.5	30	27	17	51.5	13	2	2	199	16.6	12
2009	4	10	32.1	5	28	25	29	16.5	39	43.5	7.5	7	246.6	20.6	12
2010	8	9	0	29	2	30	46	103	170	38	12	0.01	447.01	37.3	12
2012	17	6	8	41	8	39	34.5	141	25	45	4.5	5.5	374.5	31.2	12
2013	0	5	3	9.5	10	40.5	24.5	55.5	32	19.5	20.5	8.5	228.5	19	12
2014	0	0	1.5	9	66	32	45	13	29.5	29.5	2	3	230.5	19.2	12
2015	7	0.01	13	14	36.5	33	50.5	27	72	68	29	2.5	352.51	29.4	12
2016	5	5	5	15	20	31	13	39.5	73	18.5	8.5	33.5	267	22.2	12
2017	3	1	2.5	27	39	20	21	39	47	66.5	12	2	280	23.3	12
2019	1	3	8.5	12.5	31	36	13	10	42	31.5	22	2	212.5	17.7	12
2020	2	7	0	21	4.5	50	40	34	33	16	21	0.01	228.51	19	12
2021	9.5	1	0	6	37	33	39	29	47	22	2.5	0	226	18.8	12
2022	5	1.5	6.5	4	19	37	37	30	71	62	29.5	6	308.5	25.7	12
2023	0	3.5	2	2.5	10	30.5	23	98	10	23.5	15	2	220	18.3	12
2024	10	9	7.5	8	9.5	60	25	24	43	31	22	3	252	21	12
2025	3	6	8	0	35	50	45	19	29	40	23	32	290	24.2	12
2026	8.5												8.5	8.5	1
MÍNIMA	0	0	0	0	0	13	10.1	10	10	0	0	0	8.5	8.5	1
MÁXIMA	23	20.7	32.1	63	66	74	80.5	141	170	285	30	33.5	550.5	45.9	12
MEDIA	4.5	4.1	4.8	14.6	20.2	35.3	33.5	37.2	39.5	31.6	10.4	6.8	235.6	20.2	11.6
DESV.ST	6.2	5.4	7.4	14	15.3	14.5	16	25.5	26.6	37.9	8.9	8.5	76.7	5.9	1.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1955				26.5	23.5	64.5	388	178.2	311.5	92	8.5	49.5	1142.2	126.9	9
1956	10	16	3.5	5.5	207.5	160.5	122.5	90	130	56.5	35	17.5	854.5	71.2	12
1957	10	17.5	24.5	34	115	126	166	97.5	120.5	44	6.5	4.5	766	63.8	12
1958	23.4	1.9	5	32.5	56	159.5	286	161.5	266	159.5	75.5	35.5	1262.3	105.2	12
1959	2.5	19	7	73	68.5	265	139.5	91	72.5	172.5	0	0	910.5	75.9	12
1960	0	0	0	0	70	71	214	142	193.5	99.5	29	6	825	68.8	12
1961	9	0	39	5.5	8	109	287	94.5	172.5	96	36	8	864.5	72	12
1962	0	0	0	42.5	5	99.5	134	89.5	154	73.5	0	9	607	50.6	12
1963	0	0	5	29.5	50.5	168.5	272.5	130.5	201	0	11.5	0	869	72.4	12
1964	0	0	0	0	69.5	184.5	146.5	101	79	55	42.5	24.5	702.5	58.5	12
1965		0.2	22.7	10.2	0	150.8	62.7	116.6	112.3	112	10.6	5.3	603.4	54.9	11
1966	0	10.3	20.2	13.9	41.1	105.9	87.4	70	91.7	114.7	0.6	0	555.8	46.3	12
1967	0.5	0	0.4	129.5	47.2	219.5	105.2	58.4	106.2	75.2	1.2	20.2	763.5	63.6	12
1968	1.8	1.4	0	35.6	50.5	159.8	105.7	101.5	68.4	40	0.4	7	572.1	47.7	12
1969	0	1	0.8	31.3	1.6	101	227.8	463.7	198.3	39.9	1.2	0	1066.6	88.9	12
1970	0.6	10.8	0	1.2	11.9	157.4	148.8	96.5	125.8	2.4	0.8	0	556.2	46.4	12
1971	27	0	19	8	3	73.8	24.1	74.7	86.2	53.7	42.7	64.2	476.4	39.7	12
1972	10.8	0.1	0	40.2	30.4	224.4	55.2	22.8	12.3	11.8	22.6	0.1	430.7	35.9	12
1973	0	0	0.2	16.8	0.9	184.5	145	133.8	58.1	13	1.3	20.5	574.1	47.8	12
1974	15.3	0.3	2.2	11.4	74.9	176.5	129.6	11.5	268.9	54.7	20.2	0	765.5	63.8	12
1975	0	7.1	0	30.9	97.5	73.4	75.8	116.4	254.3	93.5	0.3	1.1	750.3	62.5	12
1976	20.8	0.2	0.2	21	31.7	165.2	96.6	54.2	165.9	22.8	14.6	0	593.2	49.4	12
1977	0	0.2	0.2	0.9	21	182.5	15.9	26	25.7	21.9	31.5	21	346.8	28.9	12
1978	0	0	0.1	10.4	10.2	326.5	109	94.6	196	65.6	1.3	21.4	835.1	69.6	12
1979	1	21	0.3	112.5	0.9	125	76.4	143.1	148.7	32.6	0.8	2.2	664.5	55.4	12
1980	0.3	0	0	11.2	42.7	63.9	125.5	136	217.7	20.9	11.4	2.2	631.8	52.6	12
1981	0.4	12.6	32.4	11.5	3.8	448.9	283.7	247.3	137.5	54.5	10.9	11	1254.5	104.5	12
1982	0.6	22.2	1.1	32.3	24.5	68.9	75.3	44.5	105.1	54.5	12.4	2.6	444	37	12
1983	0.7	20.8	10.3	0	0	74.8	247.3	74.7	149.1	33.9	31.7	32.6	675.9	56.3	12
1984	1.2	0.2	30.8	0	112.7	215.8	147.5	131.7	171.9		12	14.7	838.5	76.2	11
1991	2	0.6	0	21.3	53.1	123.3	93.8	74.6	140.5	156.1	3.1	12.7	681.1	56.8	12
1992	12	11.6	31.4	21.2	63.4	143.9	40.9	147.8	240	24.2	1.9	0.2	738.5	61.5	12
1993	9	1.3	0.7	1.2	74.1	295.3	67.4	169.7	32.5	76.3	1.8	1.1	730.4	60.9	12
1997			1.9	81.3	5.65	65.9	96.62	13.9	115.71				380.98	54.4	7
2000	0	0	0	21.7	49.8	165.8	54.9	105.4	66.8				464.4	51.6	9
2001	2.01	11.01	0	1	50	122	201.45	192.02	188	122	16		905.49	82.3	11
2002	0	1.4	0.3	0	23	125.71	107.22	85.6	212.21	15.6	24.3		595.34	54.1	11
2003	3.01	0	0	56.01	29.5	249	53.5	86.01	203	123.01	84.5	2.02	889.56	74.1	12
2004	12.51	0	10	43	50	150.02	96.5	70.5	72.5	136.51	13.5	4	659.04	54.9	12
2005	6	4.5	1	41	56.5	153	171.5	207.5	177	360	27.5	10	1215.5	101.3	12
